dataset,model,method,method_display,video_idx,deletion_auc,insertion_auc,avg_drop,pointing_game,iou50,iou_value
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,1,0.023133705080731513,0.9951200679510006,19.700762637663033,1.0,0.0,0.12535693599032588
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,2,0.027595267771244596,0.9771216110947614,60.87279988378567,1.0,1.0,0.6302386646669099
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,3,0.009919720565337565,0.7027176749321309,46.15506935919004,1.0,0.0,0.4049383095589441
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,4,0.15632230986808263,0.9231730738245528,90.60775620138054,0.0,0.0,0.06199469047906359
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,5,0.07892542688094428,0.8456069347894146,0.0,0.0,0.0,0.08799782978123334
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,6,0.03887705885484144,0.8220521374596546,43.47155196268548,1.0,0.0,0.240828074570066
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,7,0.02855961107457208,0.9710569335053476,22.449730550085555,0.0,0.0,0.1727588933712295
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,8,0.05050698574380054,0.9547833761524479,28.5161554813385,1.0,0.0,0.10321558890310277
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,9,0.01577099231227011,0.8360596439710675,33.41766727764056,1.0,0.0,0.45220336001407335
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,10,0.2780162452199831,0.9685001902667507,2.079124752315819,1.0,0.0,0.3323773551971917
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,11,0.38656291594068076,0.9632220723132877,0.2032103491216515,1.0,0.0,0.4334914133146944
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,12,0.1009333465385712,0.9953704329065415,0.0,1.0,0.0,0.3525400976504148
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,13,0.2864304954176148,0.9706542233158177,1.1053085327148438,1.0,0.0,0.18447370622720938
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,14,0.07651864571432815,0.954139662748865,0.00040531163278956803,1.0,0.0,0.47056787542036227
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,15,0.13380481702939998,0.9330563870372158,0.0,0.0,0.0,0.35728714437307196
