dataset,model,method,method_display,video_class,video_name,bbox_energy_ratio,temporal_consistency,sparsity_80
EtriActivity3D,TANet,GradCAM,GradCAM,13,A014_P015_G003_C001.mp4,0.26678401231765747,0.9813015460968018,0.06959635416666667
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,14,A015_P013_G002_C008.mp4,0.04841816425323486,0.9907999038696289,0.11221885681152344
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,14,A015_P013_G002_C008.mp4,0.014556989073753357,0.9904223084449768,0.6995811462402344
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,14,A015_P013_G002_C008.mp4,0.03476381674408913,0.6870253682136536,0.6530612244897959
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,14,A015_P013_G002_C008.mp4,0.001760884770192206,-0.2503928244113922,0.3532182103610675
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,14,A015_P013_G002_C008.mp4,0.00954379327595234,0.9839059114456177,0.7326995849609375
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,14,A015_P013_G002_C008.mp4,0.011665078811347485,0.9967682361602783,0.6819156646728516
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,14,A015_P013_G002_C008.mp4,0.03516127169132233,0.9954681992530823,0.11204427083333333
EtriActivity3D,TANet,AOSA,AOSA,14,A015_P013_G002_C008.mp4,0.010631131939589977,0.9939727783203125,0.5157897534013606
EtriActivity3D,TANet,GradCAM,GradCAM,14,A015_P013_G002_C008.mp4,0.02837434411048889,0.9883883595466614,0.06321614583333333
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,14,A015_P035_G002_C004.mp4,0.02195158414542675,0.9872099757194519,0.7018898010253907
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,14,A015_P035_G002_C004.mp4,0.023329809308052063,0.9911902546882629,0.7581523895263672
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,14,A015_P035_G002_C004.mp4,0.0,0.42955854535102844,0.7551020408163265
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,14,A015_P035_G002_C004.mp4,0.00950550939887762,0.06179561838507652,0.7739403453689168
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,14,A015_P035_G002_C004.mp4,0.017640817910432816,0.9754721522331238,0.8267730712890625
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,14,A015_P035_G002_C004.mp4,0.016132330521941185,0.9879681468009949,0.7507604598999024
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,14,A015_P035_G002_C004.mp4,0.10861770808696747,0.9910475015640259,0.10813802083333333
EtriActivity3D,TANet,AOSA,AOSA,14,A015_P035_G002_C004.mp4,0.013456935994327068,0.9928159713745117,0.7296815210459183
EtriActivity3D,TANet,GradCAM,GradCAM,14,A015_P035_G002_C004.mp4,0.1195865049958229,0.9097369909286499,0.07923177083333334
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,15,A016_P021_G002_C006.mp4,0.06377872824668884,0.938032329082489,0.7328405380249023
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,15,A016_P021_G002_C006.mp4,0.08930274099111557,0.9573780298233032,0.6370803833007812
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,15,A016_P021_G002_C006.mp4,0.12556350231170654,0.6932096481323242,0.6224489795918368
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,15,A016_P021_G002_C006.mp4,0.031434208154678345,-0.09405893832445145,0.7723704866562009
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,15,A016_P021_G002_C006.mp4,0.12530681490898132,0.9284912347793579,0.6615001678466796
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,15,A016_P021_G002_C006.mp4,0.021227827295660973,0.9831231832504272,0.7422338485717773
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,15,A016_P021_G002_C006.mp4,0.11992980539798737,0.9887363314628601,0.12115885416666666
EtriActivity3D,TANet,AOSA,AOSA,15,A016_P021_G002_C006.mp4,0.15659970045089722,0.9745904207229614,0.23750398596938777
EtriActivity3D,TANet,GradCAM,GradCAM,15,A016_P021_G002_C006.mp4,0.11292113363742828,0.9456613659858704,0.080859375
