Metric,Dataset,Rank,Method,Mean,Median,N,Best,Worst
deletion_auc,EtriActivity3D,1.0,SaliencyTubes,0.09597186078753851,0.05162618212540045,30,True,False
deletion_auc,EtriActivity3D,2.0,3D-LIME,0.1200056066895829,0.0760293896391125,30,False,False
deletion_auc,EtriActivity3D,3.0,3D-RISE,0.13098242155770637,0.09893393560731994,30,False,False
deletion_auc,EtriActivity3D,4.0,3D-Kernel-SHAP,0.14480076813702933,0.08995417573220829,30,False,False
deletion_auc,EtriActivity3D,5.0,LV-LOCO,0.2388225781738684,0.15778802799249475,30,False,False
deletion_auc,EtriActivity3D,6.0,GradCAM,0.25246675984435946,0.12619400350814136,30,False,False
deletion_auc,EtriActivity3D,7.0,3D-Sampled-Occl-Sens,0.3073399393041073,0.31645315470252,30,False,False
deletion_auc,EtriActivity3D,8.0,AOSA,0.3336911655397761,0.2515259110164248,30,False,False
deletion_auc,EtriActivity3D,9.0,LV-Univ-Pred,0.4097069683054266,0.4391622746546785,30,False,True
deletion_auc,Kinetics400,1.0,3D-LIME,0.15061442880405881,0.12288566738575404,30,True,False
deletion_auc,Kinetics400,2.0,3D-Kernel-SHAP,0.1995610901574923,0.15940242022754814,30,False,False
deletion_auc,Kinetics400,3.0,3D-RISE,0.20297485328268353,0.1759991280226644,30,False,False
deletion_auc,Kinetics400,4.0,AOSA,0.24455667446491391,0.24314247800428895,30,False,False
deletion_auc,Kinetics400,5.0,GradCAM,0.24746221893292797,0.1658102599595323,30,False,False
deletion_auc,Kinetics400,6.0,SaliencyTubes,0.25796354767825785,0.1716943757376459,30,False,False
deletion_auc,Kinetics400,7.0,LV-LOCO,0.27099387480673554,0.22414304901507076,30,False,False
deletion_auc,Kinetics400,8.0,3D-Sampled-Occl-Sens,0.3024563511681752,0.24076107373443306,30,False,False
deletion_auc,Kinetics400,9.0,LV-Univ-Pred,0.3956618486000684,0.41409328963794334,30,False,True
deletion_auc,Overall,1.0,3D-LIME,0.13531001774682086,0.0934636177452317,60,True,False
deletion_auc,Overall,2.0,3D-RISE,0.16697863742019498,0.1137958826759798,60,False,False
deletion_auc,Overall,3.0,3D-Kernel-SHAP,0.17218092914726082,0.1381106350406618,60,False,False
deletion_auc,Overall,4.0,SaliencyTubes,0.17696770423289818,0.1087267578174885,60,False,False
deletion_auc,Overall,5.0,GradCAM,0.2499644893886437,0.1357669463474018,60,False,False
deletion_auc,Overall,6.0,LV-LOCO,0.254908226490302,0.20284489564253133,60,False,False
deletion_auc,Overall,7.0,AOSA,0.28912392000234494,0.24314247800428895,60,False,False
deletion_auc,Overall,8.0,3D-Sampled-Occl-Sens,0.3048981452361413,0.277725814237443,60,False,False
deletion_auc,Overall,9.0,LV-Univ-Pred,0.4026844084527475,0.41562114794566496,60,False,True
insertion_auc,EtriActivity3D,1.0,3D-LIME,0.9012353169211849,0.951827639550909,30,True,False
insertion_auc,EtriActivity3D,2.0,3D-Kernel-SHAP,0.882025809524968,0.9502349141408117,30,False,False
insertion_auc,EtriActivity3D,3.0,3D-RISE,0.8007787592633498,0.8814706255880254,30,False,False
insertion_auc,EtriActivity3D,4.0,LV-LOCO,0.797191319217723,0.8683112444091935,30,False,False
