dataset,model,method,video_class,video_name,sensitivity_n,random_correlation,reversed_correlation,n,n_subsets,seed
EtriActivity3D,TANet,GradCAM,13,A014_P015_G003_C001.mp4,0.4860791223195024,-0.11428786229548775,-0.4860791223195023,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,14,A015_P013_G002_C008.mp4,0.6838825829736884,-0.06603229584110747,-0.6838825829736883,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,14,A015_P013_G002_C008.mp4,0.733235907776962,-0.06603229584110747,-0.7332359077769621,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,14,A015_P013_G002_C008.mp4,0.8158035808454984,0.061943790902755834,-0.8158035808454986,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,14,A015_P013_G002_C008.mp4,0.18123376838501223,0.061943790902755834,-0.18123376838501223,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,14,A015_P013_G002_C008.mp4,0.8285314838123266,-0.06603229584110747,-0.8285314838123267,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,14,A015_P013_G002_C008.mp4,0.3743676551876349,-0.06603229584110747,-0.37436765518763493,10,100,777
EtriActivity3D,TANet,SaliencyTubes,14,A015_P013_G002_C008.mp4,0.727784956767557,0.061943790902755834,-0.7277849567675572,10,100,777
EtriActivity3D,TANet,AOSA,14,A015_P013_G002_C008.mp4,0.6234593698199159,0.061943790902755834,-0.6234593698199159,10,100,777
EtriActivity3D,TANet,GradCAM,14,A015_P013_G002_C008.mp4,0.6948602757685499,0.061943790902755834,-0.6948602757685497,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,14,A015_P035_G002_C004.mp4,0.27018873873842536,0.013526949860386182,-0.2701887387384252,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,14,A015_P035_G002_C004.mp4,0.2294253542512272,0.013526949860386182,-0.22942535425122715,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,14,A015_P035_G002_C004.mp4,-0.2044502874286401,0.10186541038622648,0.2044502874286401,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,14,A015_P035_G002_C004.mp4,0.08665089904624003,0.10186541038622648,-0.08665089904624003,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,14,A015_P035_G002_C004.mp4,0.3301283320923213,0.013526949860386182,-0.33012833209232134,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,14,A015_P035_G002_C004.mp4,0.1549457888219753,0.013526949860386182,-0.1549457888219753,10,100,777
EtriActivity3D,TANet,SaliencyTubes,14,A015_P035_G002_C004.mp4,-0.18130054849371396,0.10186541038622648,0.18130054849371413,10,100,777
EtriActivity3D,TANet,AOSA,14,A015_P035_G002_C004.mp4,-0.24499774974538924,0.10186541038622648,0.24499774974538924,10,100,777
EtriActivity3D,TANet,GradCAM,14,A015_P035_G002_C004.mp4,-0.0014766088994380682,0.10186541038622648,0.0014766088994380764,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,15,A016_P021_G002_C006.mp4,0.8439645460838969,-0.044915012955542524,-0.843964546083897,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,15,A016_P021_G002_C006.mp4,0.8356241079723712,-0.044915012955542524,-0.8356241079723711,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,15,A016_P021_G002_C006.mp4,0.47212295999003034,-0.35561774354423936,-0.4721229599900306,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,15,A016_P021_G002_C006.mp4,-0.02889318922429283,-0.35561774354423936,0.02889318922429281,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,15,A016_P021_G002_C006.mp4,0.9624968014220184,-0.044915012955542524,-0.9624968014220183,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,15,A016_P021_G002_C006.mp4,-0.06619089639363314,-0.044915012955542524,0.06619089639363308,10,100,777
EtriActivity3D,TANet,SaliencyTubes,15,A016_P021_G002_C006.mp4,0.1964665362577673,-0.35561774354423936,-0.1964665362577673,10,100,777
EtriActivity3D,TANet,AOSA,15,A016_P021_G002_C006.mp4,0.25039360452306575,-0.35561774354423936,-0.2503936045230657,10,100,777
EtriActivity3D,TANet,GradCAM,15,A016_P021_G002_C006.mp4,0.2873936664170897,-0.35561774354423936,-0.2873936664170896,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,15,A016_P021_G003_C008.mp4,0.5833493333786416,-0.14727441094268004,-0.5833493333786416,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,15,A016_P021_G003_C008.mp4,0.6159885838435328,-0.14727441094268004,-0.6159885838435326,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,15,A016_P021_G003_C008.mp4,0.4634627117957076,0.10045988614483332,-0.46346271179570764,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,15,A016_P021_G003_C008.mp4,-0.014413139206034119,0.10045988614483332,0.014413139206034094,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,15,A016_P021_G003_C008.mp4,0.5552707429489878,-0.14727441094268004,-0.5552707429489876,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,15,A016_P021_G003_C008.mp4,-0.09615608277641542,-0.14727441094268004,0.09615608277641545,10,100,777
EtriActivity3D,TANet,SaliencyTubes,15,A016_P021_G003_C008.mp4,0.3861987043331441,0.10045988614483332,-0.386198704333144,10,100,777
EtriActivity3D,TANet,AOSA,15,A016_P021_G003_C008.mp4,0.4119001044271689,0.10045988614483332,-0.41190010442716873,10,100,777
EtriActivity3D,TANet,GradCAM,15,A016_P021_G003_C008.mp4,0.2561513149062181,0.10045988614483332,-0.2561513149062181,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,16,A017_P063_G002_C002.mp4,0.5919433302718546,0.12677699032372855,-0.5919433302718546,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,16,A017_P063_G002_C002.mp4,0.5538409778580713,0.12677699032372855,-0.5538409778580714,10,100,777
