metric,Dataset,method,method_display,N,mean,std,median,q25,q75,IQR,direction
bbox_energy_ratio,EtriActivity3D,SaliencyTubes,SaliencyTubes,30,0.33369771807144083,0.2212444737637874,0.27646979689598083,0.14934210106730456,0.49523162841796875,0.3458895273506642,higher
bbox_energy_ratio,Kinetics400,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,0.3451502036380891,0.26671580435447284,0.2857493609189987,0.09360406361520285,0.586853951215744,0.49324988760054117,higher
bbox_energy_ratio,Kinetics400,3D-LIME-NEW,3D-LIME,30,0.3551038436436405,0.2660275774043771,0.3134741187095642,0.09941103868186468,0.5987044274806976,0.49929338879883295,higher
bbox_energy_ratio,Kinetics400,3D-RISE-NEW,3D-RISE,30,0.2942954357713461,0.2134919836920481,0.278952494263649,0.16537164896726606,0.46199866384267807,0.296627014875412,higher
bbox_energy_ratio,Kinetics400,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,0.26479367576539514,0.2137567130318293,0.20245001465082163,0.09369625151157375,0.4446196183562278,0.3509233668446541,higher
bbox_energy_ratio,Kinetics400,AOSA,AOSA,30,0.3933437474324213,0.3045753536752285,0.3907049149274826,0.13132279552519316,0.6586863696575165,0.5273635741323233,higher
bbox_energy_ratio,Kinetics400,GradCAM,GradCAM,30,0.3660974481841549,0.28190650345810164,0.3442230671644211,0.09493979811668393,0.5663318037986755,0.4713920056819916,higher
bbox_energy_ratio,Kinetics400,LV-LOCO-NEW,LV-LOCO,30,0.33779345743047695,0.26508026615697616,0.28084202110767365,0.08994835242629048,0.5746780335903168,0.48472968116402626,higher
bbox_energy_ratio,Kinetics400,LV-Univ-Pred-NEW,LV-Univ-Pred,30,0.317142750689527,0.2623404834596011,0.21494169533252716,0.08982930704951281,0.5740413069725037,0.48421199992299085,higher
bbox_energy_ratio,Kinetics400,SaliencyTubes,SaliencyTubes,30,0.35899373608020446,0.2750760834437607,0.3456268161535263,0.09766896814107891,0.5752498060464859,0.477580837905407,higher
bbox_energy_ratio,Overall,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,60,0.2927642759905817,0.23576579836381487,0.21104238182306284,0.11338184960186476,0.4680258706212044,0.3546440210193396,higher
bbox_energy_ratio,Overall,3D-LIME-NEW,3D-LIME,60,0.2705880159744992,0.2160017683655833,0.21051446348428726,0.11797438003122802,0.3687189742922783,0.2507445942610503,higher
bbox_energy_ratio,Overall,3D-RISE-NEW,3D-RISE,60,0.2155312413660188,0.17755886745679186,0.16738481074571604,0.11109927669167514,0.28424497693777084,0.1731457002460957,higher
bbox_energy_ratio,Overall,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,60,0.17447795473185954,0.18310833277155192,0.1093687526881694,0.03567857202142475,0.22670704871416092,0.19102847669273618,higher
bbox_energy_ratio,Overall,AOSA,AOSA,60,0.3220719460524075,0.26771765272154896,0.23757569491863245,0.10508692823350425,0.519380658864975,0.41429373063147074,higher
bbox_energy_ratio,Overall,GradCAM,GradCAM,60,0.3558535153162666,0.26390470938547433,0.3029851019382477,0.11403663456439965,0.5631014704704285,0.4490648359060288,higher
bbox_energy_ratio,Overall,LV-LOCO-NEW,LV-LOCO,60,0.3099778744004046,0.2679940139314623,0.21960917115211487,0.12215088866651055,0.45265254378318787,0.3305016551166773,higher
bbox_energy_ratio,Overall,LV-Univ-Pred-NEW,LV-Univ-Pred,60,0.2191110951331211,0.21805709284386188,0.1548638120293617,0.0483818324282765,0.255007728934288,0.20662589650601154,higher
bbox_energy_ratio,Overall,SaliencyTubes,SaliencyTubes,60,0.3463457270758227,0.24781969336206275,0.3117772489786148,0.1389174424111843,0.5379494428634644,0.39903200045228004,higher
deletion_auc,EtriActivity3D,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,0.14480076813702933,0.13660264569683428,0.08995417573220829,0.041696681571193175,0.22115109197509059,0.17945441040389742,lower
deletion_auc,EtriActivity3D,3D-LIME-NEW,3D-LIME,30,0.1200056066895829,0.1147232119847288,0.0760293896391125,0.04100377499817025,0.1522391720496299,0.11123539705145964,lower
deletion_auc,EtriActivity3D,3D-RISE-NEW,3D-RISE,30,0.13098242155770637,0.14697011007173014,0.09893393560731994,0.03480555645605965,0.12834854976492077,0.09354299330886112,lower
