Metric,Method,N ETRI,N Kinetics,Mann-Whitney U,p raw,Rank-biserial effect (ETRI-Kinetics),Median ETRI,Median Kinetics,p Holm,Significant
deletion_auc,3D-Kernel-SHAP,30,30,313.0,0.0435835477758183,-0.3044444444444444,0.08995417573220829,0.15940242022754814,0.3050848344307281,False
deletion_auc,3D-LIME,30,30,337.0,0.09626283103615173,-0.25111111111111106,0.0760293896391125,0.12288566738575404,0.5775769862169103,False
deletion_auc,3D-RISE,30,30,276.0,0.010314672402337998,-0.3866666666666667,0.09893393560731994,0.1759991280226644,0.08251737921870399,False
deletion_auc,3D-Sampled-Occl-Sens,30,30,471.0,0.7618283459354748,0.046666666666666634,0.31645315470252,0.24076107373443306,1.0,False
deletion_auc,LV-LOCO,30,30,365.0,0.21156123692597317,-0.18888888888888888,0.15778802799249475,0.22414304901507076,1.0,False
deletion_auc,LV-Univ-Pred,30,30,469.0,0.7844597689495465,0.04222222222222216,0.4391622746546785,0.41409328963794334,1.0,False
deletion_auc,SaliencyTubes,30,30,209.0,0.0003770395640831686,-0.5355555555555556,0.05162618212540045,0.1716943757376459,0.0033933560767485174,True
deletion_auc,AOSA,30,30,494.0,0.5201446121616038,0.09777777777777774,0.2515259110164248,0.24314247800428895,1.0,False
deletion_auc,GradCAM,30,30,410.0,0.5592305357919067,-0.0888888888888889,0.12619400350814136,0.1658102599595323,1.0,False
insertion_auc,3D-Kernel-SHAP,30,30,833.0,1.5580751206267116e-08,0.8511111111111112,0.9502349141408117,0.570343941933465,1.4022676085640405e-07,True
insertion_auc,3D-LIME,30,30,824.0,3.3519512970119317e-08,0.8311111111111111,0.951827639550909,0.6426390447132195,2.6815610376095453e-07,True
insertion_auc,3D-RISE,30,30,692.0,0.00035638379914234935,0.5377777777777777,0.8814706255880254,0.6479284607843344,0.002138302794854096,True
insertion_auc,3D-Sampled-Occl-Sens,30,30,623.0,0.010762612595411515,0.38444444444444437,0.6584723888358963,0.5519987517164312,0.04305045038164606,True
insertion_auc,LV-LOCO,30,30,779.0,1.1936801001725348e-06,0.731111111111111,0.8683112444091935,0.4682387091177908,8.355760701207744e-06,True
insertion_auc,LV-Univ-Pred,30,30,650.0,0.0031829591616507357,0.4444444444444444,0.5346883076966098,0.3462445704098138,0.015914795808253678,True
insertion_auc,SaliencyTubes,30,30,613.0,0.0162848089481173,0.3622222222222222,0.7592189348408964,0.6661859285071254,0.0488544268443519,True
insertion_auc,AOSA,30,30,582.0,0.05187713105395905,0.2933333333333332,0.7825023046348332,0.6260455620289546,0.1037542621079181,False
insertion_auc,GradCAM,30,30,469.0,0.7844597689495465,0.04222222222222216,0.6443272882693469,0.6521842089899738,0.7844597689495465,False
avg_drop,3D-Kernel-SHAP,30,30,351.0,0.1443957413363849,-0.21999999999999997,17.134800478605506,30.877539585069254,0.8663744480183093,False
avg_drop,3D-LIME,30,30,344.5,0.11705834516385928,-0.23444444444444446,0.6542594409182476,25.830263463876747,0.819408416147015,False
avg_drop,3D-RISE,30,30,455.0,0.9428803423053257,0.011111111111111072,0.00014007091646558659,0.0,1.0,False
avg_drop,3D-Sampled-Occl-Sens,30,30,722.0,3.5987819603414386e-05,0.6044444444444443,72.48485373516463,0.0,0.0003238903764307295,True
avg_drop,LV-LOCO,30,30,315.0,0.04669480528989291,-0.30000000000000004,69.56314390854737,94.69320739498318,0.37355844231914326,False
avg_drop,LV-Univ-Pred,30,30,482.0,0.641163862130218,0.07111111111111112,98.57221871286637,99.05580969262265,1.0,False
avg_drop,SaliencyTubes,30,30,422.5,0.6885857331928311,-0.061111111111111116,4.802685811004492,12.772258340115833,1.0,False
avg_drop,AOSA,30,30,373.0,0.24911393030902418,-0.1711111111111111,0.4260841751287908,22.09063496754242,1.0,False
avg_drop,GradCAM,30,30,531.0,0.23032776097845442,0.17999999999999994,15.104125704582447,6.69432484039603,1.0,False
pointing_game,3D-Kernel-SHAP,30,30,540.0,0.11894982835580308,0.19999999999999996,1.0,0.5,0.5947491417790154,False
pointing_game,3D-LIME,30,30,555.0,0.05520418199303927,0.2333333333333334,1.0,1.0,0.44163345594431413,False
pointing_game,3D-RISE,30,30,555.0,0.07044553930560792,0.2333333333333334,1.0,0.0,0.4931187751392554,False
pointing_game,3D-Sampled-Occl-Sens,30,30,585.0,0.021613885281793917,0.30000000000000004,1.0,0.0,0.19452496753614526,False
pointing_game,LV-LOCO,30,30,495.0,0.44522094983103877,0.10000000000000009,1.0,0.5,1.0,False
pointing_game,LV-Univ-Pred,30,30,495.0,0.4410895227224404,0.10000000000000009,0.0,0.0,1.0,False
pointing_game,SaliencyTubes,30,30,450.0,1.0,0.0,0.0,0.0,1.0,False
pointing_game,AOSA,30,30,420.0,0.6137944973305618,-0.06666666666666665,0.0,0.5,1.0,False
pointing_game,GradCAM,30,30,540.0,0.09554395657779573,0.19999999999999996,0.0,0.0,0.5732637394667743,False
iou50,3D-Kernel-SHAP,30,30,405.0,0.3804391687624489,-0.09999999999999998,0.0,0.0,0.7608783375248978,False
iou50,3D-LIME,30,30,390.0,0.2298952005206134,-0.1333333333333333,0.0,0.0,0.6896856015618402,False
iou50,3D-RISE,30,30,330.0,0.00620702019532444,-0.2666666666666667,0.0,0.0,0.04965616156259552,True
iou50,3D-Sampled-Occl-Sens,30,30,315.0,0.0013054644688465368,-0.30000000000000004,0.0,0.0,0.011749180219618831,True
iou50,LV-LOCO,30,30,420.0,0.5691265505399128,-0.06666666666666665,0.0,0.0,0.7608783375248978,False
iou50,LV-Univ-Pred,30,30,360.0,0.07092022172639974,-0.19999999999999996,0.0,0.0,0.28368088690559895,False
iou50,SaliencyTubes,30,30,330.0,0.00620702019532444,-0.2666666666666667,0.0,0.0,0.04965616156259552,True
iou50,AOSA,30,30,330.0,0.00620702019532444,-0.2666666666666667,0.0,0.0,0.04965616156259552,True
iou50,GradCAM,30,30,345.0,0.01249929664032148,-0.23333333333333328,0.0,0.0,0.0624964832016074,False
iou_value,3D-Kernel-SHAP,30,30,402.0,0.4825169043645008,-0.10666666666666669,0.2375583869694739,0.261469185225275,1.0,False
iou_value,3D-LIME,30,30,450.0,1.0,0.0,0.28478645788237145,0.21941242955606244,1.0,False
iou_value,3D-RISE,30,30,389.0,0.3710770321265142,-0.13555555555555554,0.22786002371061184,0.21941242955606244,1.0,False
iou_value,3D-Sampled-Occl-Sens,30,30,247.0,0.002754848212054646,-0.45111111111111113,0.1196588059334118,0.21794289937866354,0.024793633908491812,True
iou_value,LV-LOCO,30,30,452.0,0.9823070530800847,0.004444444444444473,0.2922285925446775,0.2610652523076959,1.0,False
iou_value,LV-Univ-Pred,30,30,393.0,0.40351140837685373,-0.1266666666666667,0.23198113435179069,0.2163238813804494,1.0,False
iou_value,SaliencyTubes,30,30,389.0,0.3710770321265142,-0.13555555555555554,0.27400341107333726,0.2978934872302167,1.0,False
iou_value,AOSA,30,30,341.0,0.10868977321444738,-0.24222222222222223,0.15339672809587154,0.21941242955606244,0.869518185715579,False
iou_value,GradCAM,30,30,367.0,0.22257289646656508,-0.1844444444444444,0.26567557557600985,0.29726165256922066,1.0,False
bbox_energy_ratio,3D-Kernel-SHAP,30,30,355.0,0.16237502241276747,-0.21111111111111114,0.2031745761632919,0.2857493609189987,0.6495000896510699,False
bbox_energy_ratio,3D-LIME,30,30,295.0,0.022360148062659704,-0.34444444444444444,0.19138949364423746,0.3134741187095642,0.13416088837595821,False
bbox_energy_ratio,3D-RISE,30,30,234.5,0.0014717435262404637,-0.4788888888888889,0.13552451133728027,0.278952494263649,0.01177394820992371,True
bbox_energy_ratio,3D-Sampled-Occl-Sens,30,30,228.5,0.0010838231866221327,-0.4922222222222222,0.07710671797394744,0.20245001465082163,0.009754408679599194,True
bbox_energy_ratio,LV-LOCO,30,30,400.0,0.46427291062161524,-0.11111111111111116,0.1933274939656257,0.28084202110767365,1.0,False
bbox_energy_ratio,LV-Univ-Pred,30,30,269.0,0.007617064306244217,-0.40222222222222226,0.12470956146717065,0.21494169533252716,0.05331945014370952,False
bbox_energy_ratio,SaliencyTubes,30,30,443.0,0.9234421319782358,-0.015555555555555545,0.27646979689598083,0.3456268161535263,1.0,False
bbox_energy_ratio,AOSA,30,30,344.0,0.11879685329528339,-0.23555555555555552,0.1985932290554046,0.3907049149274826,0.593984266476417,False
bbox_energy_ratio,GradCAM,30,30,445.0,0.9469559422255942,-0.011111111111111072,0.29799607396125793,0.3442230671644211,1.0,False
temporal_consistency,3D-Kernel-SHAP,30,30,875.0,3.4741966068317727e-10,0.9444444444444444,0.9787659645080566,0.8953844904899597,2.431937624782241e-09,True
temporal_consistency,3D-LIME,30,30,859.0,1.5465212858330377e-09,0.9088888888888889,0.9822349548339844,0.9102562367916107,9.279127714998226e-09,True
temporal_consistency,3D-RISE,30,30,587.0,0.0435835477758183,0.3044444444444445,0.5599600970745087,0.3658381402492523,0.1307506433274549,False
temporal_consistency,3D-Sampled-Occl-Sens,30,30,544.0,0.1668661704632597,0.2088888888888889,-0.0005956644890829999,-0.05505870468914505,0.3337323409265194,False
temporal_consistency,LV-LOCO,30,30,811.0,9.83289055492182e-08,0.8022222222222222,0.9671489000320435,0.886622965335846,4.91644527746091e-07,True
temporal_consistency,LV-Univ-Pred,30,30,877.0,2.8715847742981156e-10,0.9488888888888889,0.988346666097641,0.9148751795291901,2.2972678194384925e-09,True
temporal_consistency,SaliencyTubes,30,30,760.0,4.744496840420643e-06,0.6888888888888889,0.9919827878475189,0.9698470532894135,1.8977987361682572e-05,True
temporal_consistency,AOSA,30,30,881.0,1.9567799598061055e-10,0.9577777777777778,0.9828458726406097,0.8870695233345032,1.761101963825495e-09,True
temporal_consistency,GradCAM,30,30,522.0,0.2904721494938346,0.15999999999999992,0.9546371698379517,0.9369028210639954,0.3337323409265194,False
sparsity_80,3D-Kernel-SHAP,30,30,479.0,0.673495052801603,0.06444444444444453,0.6993599891662599,0.6853939056396485,0.812116013173555,False
sparsity_80,3D-LIME,30,30,557.0,0.11536235969206284,0.23777777777777787,0.6572338104248048,0.627013111114502,0.5768117984603142,False
sparsity_80,3D-RISE,30,30,352.5,0.15077866161800077,-0.21666666666666667,0.6632653061224489,0.6658163265306123,0.6031146464720031,False
sparsity_80,3D-Sampled-Occl-Sens,30,30,223.0,0.0008099543479632937,-0.5044444444444445,0.6334379905808478,0.7268445839874411,0.005669680435743056,True
sparsity_80,LV-LOCO,30,30,393.0,0.40353753915408586,-0.1266666666666667,0.7046218872070313,0.7082376480102539,0.812116013173555,False
sparsity_80,LV-Univ-Pred,30,30,719.0,7.198788174817339e-05,0.5977777777777777,0.7395604133605957,0.6855835914611816,0.0005759030539853871,True
sparsity_80,SaliencyTubes,30,30,244.0,0.0023799639794362107,-0.45777777777777773,0.1748372395833333,0.3430013020833333,0.014279783876617264,True
sparsity_80,AOSA,30,30,375.0,0.2707053377245183,-0.16666666666666663,0.3074570160095288,0.5624119765093538,0.812116013173555,False
sparsity_80,GradCAM,30,30,30.0,5.572653248454238e-10,-0.9333333333333333,0.0857747395833333,0.18440755208333331,5.0153879236088135e-09,True
