Metric,Dataset,N,Method A,Method B,Wilcoxon statistic,p raw,p Holm,Mean difference (A-B),Median difference (A-B),Rank-biserial effect,Significant
sensitivity_n,Overall,60,3D-RISE,3D-Sampled-Occl-Sens,211.0,2.1885093424322652e-07,6.7843789615400225e-06,0.2708553999030673,0.3136964715195,0.7693989071038252,True
sensitivity_n,Overall,60,3D-RISE,LV-LOCO,477.0,0.0012624482212298868,0.017674275097218417,-0.14600133429167736,-0.1032134701263824,-0.4786885245901639,True
sensitivity_n,Overall,60,3D-RISE,LV-Univ-Pred,182.0,6.812207229672464e-08,2.2480283857919134e-06,0.2645898348424962,0.3208352576475783,0.8010928961748633,True
sensitivity_n,Overall,60,3D-RISE,SaliencyTubes,395.0,0.00012917114649942191,0.002632614005630648,0.10377619074019216,0.08306277946553622,0.5683060109289617,True
sensitivity_n,Overall,60,3D-RISE,AOSA,298.0,5.569421613489575e-06,0.0001336661187237498,0.18469754676793965,0.10861298274679398,0.6743169398907104,True
sensitivity_n,Overall,60,3D-RISE,GradCAM,484.0,0.0015095002696703438,0.01962350350571447,0.08643853350668794,0.09822616302205972,0.4710382513661202,True
sensitivity_n,Overall,60,3D-Sampled-Occl-Sens,LV-LOCO,64.0,3.7348595429945804e-10,1.3072008400481031e-08,-0.4168567341947446,-0.4211018805793204,-0.9300546448087431,True
sensitivity_n,Overall,60,3D-Sampled-Occl-Sens,LV-Univ-Pred,908.0,0.9589022241229527,1.0,-0.006265565060571151,0.03473594586468255,-0.007650273224043716,False
sensitivity_n,Overall,60,3D-Sampled-Occl-Sens,SaliencyTubes,407.0,0.00018424416817405557,0.003316395027133,-0.16707920916287522,-0.20805238591097502,-0.5551912568306011,True
sensitivity_n,Overall,60,3D-Sampled-Occl-Sens,AOSA,633.0,0.03789653642824972,0.3789653642824972,-0.0861578531351277,-0.19476995127004249,-0.3081967213114754,False
sensitivity_n,Overall,60,3D-Sampled-Occl-Sens,GradCAM,362.0,4.681849077315039e-05,0.001076825287782459,-0.1844168663963794,-0.22425533869942935,-0.6043715846994535,True
sensitivity_n,Overall,60,LV-LOCO,LV-Univ-Pred,57.0,2.679770894249959e-10,9.647175219299852e-09,0.4105911691341736,0.4420531257001522,0.9377049180327869,True
sensitivity_n,Overall,60,LV-LOCO,SaliencyTubes,213.0,2.3680817959610825e-07,7.104245387883248e-06,0.24977752503186954,0.24419723854605346,0.7672131147540984,True
sensitivity_n,Overall,60,LV-LOCO,AOSA,219.0,2.9963618614770236e-07,8.689449398283368e-06,0.33069888105961703,0.26589276292167885,0.760655737704918,True
sensitivity_n,Overall,60,LV-LOCO,GradCAM,269.0,1.978622583245805e-06,4.946556458114513e-05,0.23243986779836529,0.21202402821485639,0.7060109289617487,True
sensitivity_n,Overall,60,LV-Univ-Pred,SaliencyTubes,424.0,0.00030087314752156533,0.005114843507866611,-0.16081364410230406,-0.19172753203076814,-0.5366120218579234,True
sensitivity_n,Overall,60,LV-Univ-Pred,AOSA,625.0,0.03277204956016548,0.3604925451618203,-0.07989228807455652,-0.12836579436857848,-0.31693989071038253,False
sensitivity_n,Overall,60,LV-Univ-Pred,GradCAM,383.0,8.98912106006078e-05,0.0019776066332133717,-0.17815130133580823,-0.24442449057216292,-0.5814207650273224,True
sensitivity_n,Overall,60,SaliencyTubes,AOSA,723.0,0.1575299833400341,0.7146605243948156,0.08092135602774751,0.054654355094539066,0.2098360655737705,False
sensitivity_n,Overall,60,SaliencyTubes,GradCAM,699.0,0.11181085778953141,0.6708651467371884,-0.017337657233504205,-0.017621352991445557,-0.2360655737704918,False
sensitivity_n,Overall,60,AOSA,GradCAM,668.0,0.06901585766408228,0.6211427189767404,-0.09825901326125172,-0.03257622883030639,-0.26994535519125684,False
sensitivity_n,EtriActivity3D,30,3D-Kernel-SHAP,3D-LIME,128.0,0.03098480962216854,0.34083290584385395,-0.0650010380918881,-0.03193377307868778,-0.44946236559139785,False
sensitivity_n,EtriActivity3D,30,3D-Kernel-SHAP,3D-RISE,227.0,0.9192965272814035,1.0,0.03671131468925235,-0.050071844687254057,-0.023655913978494623,False
sensitivity_n,EtriActivity3D,30,3D-Kernel-SHAP,3D-Sampled-Occl-Sens,22.0,9.98377799987793e-07,3.394484519958496e-05,0.3226470948963906,0.3127394213056296,0.9053763440860215,True
sensitivity_n,EtriActivity3D,30,3D-Kernel-SHAP,LV-LOCO,62.0,0.00020912662148475647,0.005646418780088425,-0.1827002634331219,-0.14454852515271593,-0.7333333333333333,True
sensitivity_n,EtriActivity3D,30,3D-Kernel-SHAP,LV-Univ-Pred,92.0,0.0029870010912418365,0.05077901855111122,0.23213936135353766,0.18402871575722296,0.6043010752688172,False
sensitivity_n,EtriActivity3D,30,3D-Kernel-SHAP,SaliencyTubes,114.0,0.013663241639733315,0.1912853829562664,0.13239417846422036,0.07945168562263205,0.5096774193548387,False
sensitivity_n,EtriActivity3D,30,3D-Kernel-SHAP,AOSA,123.0,0.023410143330693245,0.3043318632990122,0.2599778706084879,0.14028946474092635,0.47096774193548385,False
sensitivity_n,EtriActivity3D,30,3D-Kernel-SHAP,GradCAM,104.0,0.007111456245183945,0.10667184367775917,0.15643501060003775,0.18819054843381755,0.5526881720430108,False
sensitivity_n,EtriActivity3D,30,3D-LIME,3D-RISE,141.0,0.06056523136794567,0.6056523136794567,0.10171235278114048,0.11516350904041389,0.3935483870967742,False
sensitivity_n,EtriActivity3D,30,3D-LIME,3D-Sampled-Occl-Sens,4.0,1.30385160446167e-08,4.6938657760620117e-07,0.3876481329882788,0.3471695946132215,0.9827956989247312,True
sensitivity_n,EtriActivity3D,30,3D-LIME,LV-LOCO,124.0,0.024786051362752914,0.3043318632990122,-0.1176992253412338,-0.09172005419537704,-0.4666666666666667,False
sensitivity_n,EtriActivity3D,30,3D-LIME,LV-Univ-Pred,57.0,0.00012333691120147705,0.0034534335136413574,0.29714039944542575,0.31947235790573164,0.7548387096774194,True
sensitivity_n,EtriActivity3D,30,3D-LIME,SaliencyTubes,69.0,0.0004183966666460037,0.01004151999950409,0.19739521655610842,0.2191923801511495,0.7032258064516129,True
sensitivity_n,EtriActivity3D,30,3D-LIME,AOSA,71.0,0.0005054883658885956,0.011626232415437698,0.3249789087003761,0.19017155875496172,0.6946236559139785,True
sensitivity_n,EtriActivity3D,30,3D-LIME,GradCAM,62.0,0.00020912662148475647,0.005646418780088425,0.22143604869192587,0.2208698460366722,0.7333333333333333,True
sensitivity_n,EtriActivity3D,30,3D-RISE,3D-Sampled-Occl-Sens,52.0,7.056817412376404e-05,0.002046477049589157,0.2859357802071382,0.31155487399770654,0.7763440860215054,True
sensitivity_n,EtriActivity3D,30,3D-RISE,LV-LOCO,67.0,0.0003449581563472748,0.00862395390868187,-0.2194115781223743,-0.12472342564406669,-0.7118279569892473,True
sensitivity_n,EtriActivity3D,30,3D-RISE,LV-Univ-Pred,90.0,0.002560090273618698,0.046081624925136566,0.1954280466642853,0.1087327046236377,0.6129032258064516,True
sensitivity_n,EtriActivity3D,30,3D-RISE,SaliencyTubes,81.0,0.0012321043759584427,0.025874191895127296,0.09568286377496801,0.12613833202903407,0.6516129032258065,True
sensitivity_n,EtriActivity3D,30,3D-RISE,AOSA,87.0,0.0020201820880174637,0.03838345967233181,0.2232665559192356,0.06511551409721977,0.6258064516129033,True
sensitivity_n,EtriActivity3D,30,3D-RISE,GradCAM,78.0,0.0009517744183540344,0.020939037203788757,0.11972369591078537,0.16391726019479097,0.6645161290322581,True
sensitivity_n,EtriActivity3D,30,3D-Sampled-Occl-Sens,LV-LOCO,6.0,2.60770320892334e-08,9.126961231231689e-07,-0.5053473583295125,-0.5291594463174758,-0.9741935483870968,True
sensitivity_n,EtriActivity3D,30,3D-Sampled-Occl-Sens,LV-Univ-Pred,151.0,0.09610157273709774,0.8649141546338797,-0.09050773354285302,-0.08474038036797979,-0.35053763440860214,False
sensitivity_n,EtriActivity3D,30,3D-Sampled-Occl-Sens,SaliencyTubes,86.0,0.0018640067428350449,0.0372801348567009,-0.19025291643217027,-0.20568147119154917,-0.6301075268817204,True
sensitivity_n,EtriActivity3D,30,3D-Sampled-Occl-Sens,AOSA,188.0,0.370740607380867,1.0,-0.06266922428790268,-0.18130862189898866,-0.1913978494623656,False
sensitivity_n,EtriActivity3D,30,3D-Sampled-Occl-Sens,GradCAM,103.0,0.006639536470174789,0.10623258352279663,-0.16621208429635287,-0.12048450798869684,-0.556989247311828,False
sensitivity_n,EtriActivity3D,30,LV-LOCO,LV-Univ-Pred,25.0,1.6838312149047852e-06,5.556643009185791e-05,0.41483962478665953,0.4599089481161859,0.8924731182795699,True
sensitivity_n,EtriActivity3D,30,LV-LOCO,SaliencyTubes,37.0,1.0609626770019531e-05,0.00031828880310058594,0.3150944418973423,0.3180270389275133,0.8408602150537634,True
sensitivity_n,EtriActivity3D,30,LV-LOCO,AOSA,36.0,9.220093488693237e-06,0.00028582289814949036,0.4426781340416098,0.47060141020163004,0.8451612903225807,True
sensitivity_n,EtriActivity3D,30,LV-LOCO,GradCAM,34.0,6.917864084243774e-06,0.00022137165069580078,0.3391352740331597,0.32576061400659173,0.853763440860215,True
sensitivity_n,EtriActivity3D,30,LV-Univ-Pred,SaliencyTubes,154.0,0.10943205840885639,0.8754564672708511,-0.09974518288931726,-0.1427778967553765,-0.33763440860215055,False
sensitivity_n,EtriActivity3D,30,LV-Univ-Pred,AOSA,218.0,0.7765688337385654,1.0,0.02783850925495033,0.0033167940681895214,0.06236559139784946,False
sensitivity_n,EtriActivity3D,30,LV-Univ-Pred,GradCAM,169.0,0.19807579927146435,1.0,-0.07570435075349988,-0.07767360875066442,-0.2731182795698925,False
sensitivity_n,EtriActivity3D,30,SaliencyTubes,AOSA,184.0,0.3284698575735092,1.0,0.12758369214426754,0.04210999507070921,0.2086021505376344,False
sensitivity_n,EtriActivity3D,30,SaliencyTubes,GradCAM,189.0,0.3817984350025654,1.0,0.02404083213581737,0.018802313901709198,0.1870967741935484,False
